track_id,track_name,artists,track_genre,danceability,energy,valence,tempo,acousticness,popularity
sp_0,SWIM,BTS,K-Pop,1.0,0.0,0.0,0.5,1.0,100.0
sp_1,Body to Body,BTS,K-Pop,0.5578146633428728,0.0,0.005025125628140704,0.2789073316714364,1.0,55.78146633428727
sp_2,Babydoll,Dominic Fike,Alternative Pop,0.4505119145872373,0.038135593220338986,0.010050251256281405,0.24432375390378816,0.961864406779661,45.051191458723736
sp_3,Hooligan,BTS,K-Pop,0.4113081928849213,0.0,0.01507537688442211,0.20565409644246066,1.0,41.130819288492134
sp_4,FYA,BTS,K-Pop,0.397239530480548,0.0,0.020100502512562814,0.198619765240274,1.0,39.723953048054796
sp_5,NORMAL,BTS,K-Pop,0.35285581220412154,0.0,0.025125628140703515,0.17642790610206077,1.0,35.285581220412155
sp_6,Stateside + Zara Larsson (w/ Zara Larsson),PinkPantheress,Uk Garage,0.35176883120927854,0.02346805736636245,0.03015075376884422,0.18761844428782048,0.9765319426336375,35.176883120927855
sp_7,Aliens,BTS,K-Pop,0.34980891292676203,0.0,0.035175879396984924,0.17490445646338101,1.0,34.980891292676205
sp_8,2,BTS,K-Pop,0.3354685796632888,0.0,0.04020100502512563,0.1677342898316444,1.0,33.546857966328886
sp_9,Like Animals,BTS,K-Pop,0.3348060161953126,0.0,0.04522613065326633,0.1674030080976563,1.0,33.48060161953126
sp_10,Merry Go Round,BTS,K-Pop,0.32714190254703085,0.0,0.05025125628140704,0.16357095127351542,1.0,32.714190254703084
sp_11,they don’t know ’bout us,BTS,K-Pop,0.3205595130277534,0.0,0.055276381909547735,0.1602797565138767,1.0,32.05595130277534
sp_12,Man I Need,Olivia Dean,Pop,0.30837727197030207,0.06910039113428944,0.06030150753768845,0.18873883155229576,0.9308996088657105,30.83772719703021
sp_13,DtMF,Bad Bunny,Pop,0.3057874224624687,0.14308996088657103,0.06532663316582915,0.22443869167451985,0.856910039113429,30.578742246246872
sp_14,End of Beginning,Djo,Synth-Pop,0.28933204378116245,0.2483702737940026,0.07035175879396986,0.26885115878758253,0.7516297262059974,28.93320437811624
sp_15,Risk It All,Bruno Mars,Offizielle Charts,0.2792785358299545,0.006844850065189048,0.07537688442211056,0.14306169294757176,0.9931551499348109,27.92785358299545
sp_16,One More Night,BTS,K-Pop,0.27655299967179303,0.0,0.08040201005025126,0.13827649983589652,1.0,27.655299967179307
sp_17,So Easy (To Fall In Love),Olivia Dean,Pop,0.27180029702283853,0.056714471968709254,0.08542713567839197,0.1642573844957739,0.9432855280312907,27.18002970228385
sp_18,Please,BTS,K-Pop,0.2683544710586227,0.0,0.09045226130653267,0.13417723552931135,1.0,26.83544710586227
sp_19,Raindance (w/ Tems),Dave,Rap,0.26624210366678297,0.0348761408083442,0.09547738693467338,0.15055912223756357,0.9651238591916558,26.624210366678295
sp_20,No. 29,BTS,K-Pop,0.2556388068977618,0.0,0.10050251256281408,0.1278194034488809,1.0,25.56388068977618
sp_21,Into the Sun,BTS,K-Pop,0.2553727896490923,0.0,0.10552763819095479,0.12768639482454616,1.0,25.53727896490923
sp_22,The Fate of Ophelia,Taylor Swift,Pop,0.25089681635278055,0.054758800521512385,0.11055276381909548,0.15282780843714647,0.9452411994784876,25.08968163527805
sp_23,back to friends,sombr,Indie Pop,0.23720754096412705,0.1196219035202086,0.12060301507537688,0.1784147222421678,0.8803780964797914,23.7207540964127
sp_24,BAILE INoLVIDABLE,Bad Bunny,Reggaeton,0.2135567031833695,0.14308996088657103,0.1256281407035176,0.17832333203497025,0.856910039113429,21.35567031833695
sp_25,Lush Life,Zara Larsson,Pop,0.21326807149297866,0.24739243807040415,0.1306532663316583,0.2303302547816914,0.7526075619295959,21.326807149297867
sp_26,WHERE IS MY HUSBAND!,RAYE,Pop,0.20325552742085368,0.059322033898305086,0.135678391959799,0.13128878065957938,0.940677966101695,20.325552742085367
sp_27,NUEVAYoL,Bad Bunny,Reggaeton,0.20130037007343643,0.14308996088657103,0.1407035175879397,0.17219516548000374,0.856910039113429,20.130037007343642
sp_28,American Girls,Harry Styles,Rock,0.18941410048132062,0.0045632333767926985,0.15075376884422112,0.09698866692905667,0.9954367666232073,18.941410048132063
sp_29,iloveitiloveitiloveit,Bella Kay,Billboard Hot 100,0.17718137367458792,0.009126466753585399,0.15577889447236182,0.09315392021408665,0.9908735332464146,17.71813736745879
sp_30,I Just Might,Bruno Mars,Pop,0.1654837561357791,0.022816166883963495,0.16080402010050251,0.09414996150987129,0.9771838331160365,16.54837561357791
sp_31,Iris,The Goo Goo Dolls,Alternative Rock,0.15716471635290946,0.2988917861799218,0.1658291457286432,0.22802825126641563,0.7011082138200782,15.716471635290947
sp_32,Die With A Smile (w/ Bruno Mars),Lady Gaga,Pop,0.1487894380241802,0.189374185136897,0.17085427135678394,0.1690818115805386,0.810625814863103,14.878943802418018
sp_33,Manchild,Sabrina Carpenter,Pop,0.1445736299938118,0.09354628422425032,0.17587939698492464,0.11905995710903106,0.9064537157757497,14.457362999381179
sp_34,Tití Me Preguntó,Bad Bunny,Reggaeton,0.14455418950882326,0.15677966101694912,0.18090452261306533,0.1506669252628862,0.8432203389830508,14.455418950882326
sp_35,Love Me Not,Ravyn Lenae,Pop,0.13448689468305713,0.11929595827900913,0.18592964824120603,0.12689142648103313,0.8807040417209908,13.448689468305712
sp_36,EoO,Bad Bunny,Billboard Hot 100,0.1340131816406837,0.14178617992177311,0.19095477386934676,0.1378996807812284,0.8582138200782269,13.401318164068371
sp_37,White Keys,Dominic Fike,Offizielle Charts,0.13285577848083124,0.00847457627118644,0.19597989949748745,0.07066517737600884,0.9915254237288136,13.285577848083122
sp_38,BIRDS OF A FEATHER,Billie Eilish,Alternative Pop,0.13264143721521798,0.2190352020860495,0.20100502512562815,0.17583831965063373,0.7809647979139505,13.264143721521798
sp_39,Die On This Hill,SIENNA SPIRO,Pop,0.11967126139884408,0.03259452411994785,0.21105527638190955,0.07613289275939597,0.9674054758800521,11.967126139884407
sp_40,Every Breath You Take,The Police,New Wave,0.11664846435542443,0.5270534550195567,0.21608040201005027,0.32185095968749056,0.4729465449804433,11.664846435542444
sp_41,Dracula - JENNIE Remix (w/ JENNIE),Tame Impala,Psychedelic Rock,0.11312814959413524,0.01108213820078227,0.22110552763819097,0.062105143897458755,0.9889178617992177,11.312814959413522
sp_42,12 to 12,sombr,Indie Pop,0.10599279730031176,0.07627118644067797,0.22613065326633167,0.09113199187049487,0.923728813559322,10.599279730031174
sp_43,Mr. Brightside,The Killers,Rock,0.10206324049278458,0.5475880052151239,0.23115577889447236,0.3248256228539542,0.45241199478487615,10.206324049278454
sp_44,Espresso,Sabrina Carpenter,Pop,0.10136556512845153,0.23044328552803128,0.23618090452261306,0.1659044253282414,0.7695567144719687,10.13655651284515
sp_45,Choosin' Texas,Ella Langley,Country,0.09693601094935723,0.025423728813559324,0.2412060301507538,0.06117986988145828,0.9745762711864406,9.693601094935723
sp_46,I Thought I Saw Your Face Today,She & Him,Indie Pop,0.09558797201323978,0.033246414602346806,0.24623115577889446,0.06441719330779329,0.9667535853976532,9.558797201323976
sp_47,(When You Gonna) Give It Up to Me (w/ Keyshia Cole),Sean Paul,Dancehall,0.09547271770937925,0.020534550195567144,0.25125628140703515,0.058003633952473196,0.9794654498044328,9.547271770937922
sp_48,Homewrecker,sombr,Indie Pop,0.09402083087640979,0.013689700130378096,0.2562814070351759,0.053855265503393944,0.9863102998696219,9.402083087640978
sp_49,Sailor Song,Gigi Perez,Electronic,0.09081811016069842,0.18872229465449802,0.26130653266331655,0.13977020240759822,0.811277705345502,9.081811016069842
sp_50,Beautiful Things,Benson Boone,Pop,0.08911419132591349,0.2578226857887875,0.2663316582914573,0.17346843855735047,0.7421773142112125,8.911419132591348
sp_51,Sweater Weather,The Neighbourhood,Rock,0.08698803705951556,0.6903520208604954,0.27638190954773867,0.38867002896000546,0.3096479791395046,8.698803705951555
sp_52,"One Dance (w/ Wizkid, Kyla)",Drake,Hip Hop,0.0836779969317757,0.6952411994784875,0.2814070351758794,0.3894595982051316,0.3047588005215125,8.36779969317757
